frame, x, y, w, h
0, 934.0, 586.5, 88.1875, 88.4375
1, 927.0, 584.0, 97.0, 87.125
2, 913.5, 580.5, 104.0625, 87.5
3, 897.0, 577.0, 102.0625, 94.8125
4, 883.0, 569.0, 95.625, 88.625
5, 875.5, 566.0, 86.25, 84.4375
6, 867.5, 562.5, 88.1875, 85.9375
7, 860.0, 564.0, 100.3125, 85.5
8, 850.5, 565.5, 95.3125, 85.6875
9, 841.0, 567.0, 94.9375, 85.0625
10, 835.0, 568.0, 89.4375, 85.625
11, 829.5, 572.0, 87.5, 86.8125
12, 821.5, 582.0, 87.9375, 85.75
13, 817.5, 588.0, 92.5, 92.0
14, 811.5, 594.5, 88.125, 88.625
15, 809.0, 600.5, 86.4375, 87.8125
16, 807.5, 605.5, 87.1875, 87.25
17, 806.0, 608.5, 87.25, 86.8125
18, 805.0, 614.5, 87.0, 85.875
19, 801.5, 616.0, 86.1875, 84.875
20, 799.0, 618.5, 87.1875, 86.1875
21, 799.0, 620.5, 86.75, 85.8125
22, 799.5, 621.5, 86.3125, 85.6875
23, 797.0, 621.5, 86.25, 85.875
24, 793.5, 623.0, 85.8125, 84.9375
25, 790.0, 623.0, 87.6875, 85.1875
26, 786.0, 622.0, 86.5, 84.6875
27, 783.5, 622.0, 85.875, 84.5625
28, 781.0, 622.5, 86.5625, 83.8125
29, 778.0, 621.5, 85.375, 84.5625
30, 768.0, 615.5, 84.75, 83.125
31, 762.5, 613.0, 93.4375, 82.75
32, 753.0, 610.5, 93.75, 82.5
33, 741.0, 609.5, 88.4375, 82.0625
34, 730.5, 610.0, 93.75, 83.375
35, 722.5, 614.5, 85.125, 81.1875
36, 703.5, 615.0, 83.875, 81.25
37, 691.5, 615.0, 85.375, 81.6875
38, 687.0, 614.0, 88.0, 81.1875
39, 679.5, 614.0, 88.5625, 81.375
40, 674.5, 614.5, 85.6875, 81.5625
41, 670.0, 614.5, 83.9375, 81.4375
42, 666.5, 616.0, 83.4375, 81.5625
43, 662.0, 617.0, 83.625, 81.3125
44, 655.5, 618.5, 94.375, 80.75
45, 648.0, 619.0, 85.6875, 79.5
46, 647.5, 624.0, 78.125, 66.6875
47, 662.5, 617.0, 82.1875, 75.375
48, 678.5, 604.5, 80.5625, 80.625
49, 682.5, 584.0, 81.125, 98.9375
50, 686.0, 555.0, 83.75, 90.9375
51, 691.5, 538.0, 86.5625, 93.75
52, 710.5, 527.5, 111.0625, 88.0625
53, 711.0, 516.0, 98.8125, 103.0
54, 719.0, 510.5, 86.1875, 93.875
55, 727.5, 502.75, 91.6875, 95.5
56, 731.0, 492.75, 84.6875, 78.6875
57, 731.0, 493.0, 85.125, 77.6875
58, 728.0, 494.25, 82.5625, 79.4375
59, 723.5, 494.5, 79.1875, 79.0625
60, 731.5, 460.75, 78.75, 82.125
61, 738.5, 434.25, 80.8125, 97.625
62, 739.5, 412.25, 83.6875, 102.125
63, 741.5, 390.25, 84.625, 100.875
64, 745.5, 375.75, 78.6875, 78.0
65, 748.0, 345.0, 80.3125, 79.25
66, 748.0, 324.75, 75.0, 75.5
68, 742.5, 315.75, 81.625, 80.375
69, 742.0, 318.25, 83.125, 80.3125
70, 744.5, 323.0, 78.3125, 81.4375
71, 746.0, 331.75, 76.6875, 76.875
72, 747.5, 345.75, 77.625, 74.875
73, 755.0, 362.75, 78.6875, 76.0
74, 760.0, 393.75, 72.25, 82.6875
75, 761.5, 409.25, 75.0625, 102.875
76, 765.5, 448.75, 79.375, 113.6875
77, 769.5, 484.0, 80.25, 98.5
78, 774.0, 518.5, 78.8125, 84.5
79, 776.5, 495.25, 81.3125, 84.5
80, 772.0, 474.0, 87.625, 103.0
81, 767.0, 454.5, 78.375, 86.125
82, 764.0, 434.75, 76.625, 76.375
83, 758.0, 410.25, 79.5, 80.375
84, 747.0, 386.5, 80.4375, 78.9375
85, 741.0, 370.5, 84.375, 81.1875
86, 737.5, 356.5, 82.375, 82.25
87, 733.0, 346.25, 86.75, 86.8125
88, 727.0, 343.0, 86.125, 78.9375
89, 719.5, 343.75, 79.6875, 77.875
90, 708.0, 349.75, 81.4375, 77.0
91, 697.5, 362.0, 78.6875, 76.4375
92, 693.0, 370.5, 84.25, 88.875
93, 680.5, 399.25, 76.5, 78.4375
94, 677.5, 408.0, 88.0, 101.0625
95, 672.5, 432.25, 85.875, 95.5
96, 665.5, 456.75, 83.625, 84.625
97, 657.0, 502.75, 84.75, 99.0
98, 656.0, 490.0, 82.8125, 105.5625
99, 666.0, 419.75, 79.5, 75.25
100, 668.0, 424.0, 75.5, 79.8125
101, 676.0, 374.5, 80.125, 83.3125
102, 686.0, 327.5, 79.75, 84.3125
103, 698.5, 287.25, 77.1875, 88.0
104, 711.0, 257.0, 82.875, 88.4375
105, 714.0, 248.875, 82.4375, 68.1875
106, 722.0, 228.25, 85.6875, 73.375
107, 725.5, 215.25, 84.25, 80.9375
108, 732.0, 201.375, 81.75, 78.9375
109, 731.0, 202.625, 80.0625, 82.125
